ID,Category,Question,Answer
54,Hooks,What is forwardRef?,A method that lets a component expose a DOM node to its parent component by forwarding a ref.
55,Hooks,What is useImperativeHandle?,A hook that customizes the instance value that is exposed to parent components when using ref. Used with forwardRef.
56,Patterns,"What is the ""Render Props"" pattern?","A technique for sharing code between components using a prop whose value is a function (e.g., <DataProvider render={data => <h1>{data}</h1>} />)."
57,Patterns,What is the Container vs. Presentational Component pattern?,"Separation of concerns: Container handles logic/state/fetching, while Presentational handles the UI/rendering (stateless)."
58,Core,What are Synthetic Events?,React's cross-browser wrapper around the browser's native event. It ensures events behave consistently across different browsers.
59,Core,What is React.StrictMode?,A tool for highlighting potential problems in an application. It activates additional checks and warnings for its descendants (only in development).
60,Core,Why is setState asynchronous?,To optimize performance. React batches multiple state updates into a single re-render to avoid unnecessary layout calculations.
61,State,"What is ""State Batching""?",The process where React groups multiple state updates into a single re-render for better performance.
62,State,What is Automatic Batching (React 18)?,"React 18 batches state updates even inside promises, setTimeout, and native event handlers (previously only inside React event handlers)."
63,Redux,What is Redux Middleware?,"Code that sits between the dispatched action and the reducer. Used for logging, crash reporting, or async tasks (e.g., Redux Thunk)."
64,Redux,What is Redux Thunk?,"A middleware that allows you to write action creators that return a function instead of an action object, enabling async logic (API calls)."
65,Redux,What is the connect() function?,A High-Order Component in react-redux that connects a React component to the Redux store.
66,Redux,What is mapStateToProps?,A function used with connect() to select the part of the data from the store that the connected component needs.
67,Redux,What is mapDispatchToProps?,"A function used with connect() to dispatch actions to the store, making them available as props to the component."
68,Redux,What is Redux Toolkit (RTK)?,"The official, recommended way to write Redux logic. It simplifies store setup and reduces boilerplate code (includes Thunk/Immer by default)."
69,Router,What is useNavigate?,A hook in React Router v6 used to programmatically navigate/redirect to different routes (replaces useHistory).
70,Router,What is the <Outlet> component?,A placeholder component in React Router v6 that renders the child route's element in a layout component.
71,Router,How do you access URL parameters?,"Using the useParams hook. For a route like /user/:id, const { id } = useParams() retrieves the ID."
72,Styling,What are CSS Modules?,"A CSS file where all class names and animation names are scoped locally by default, avoiding class name collisions."
73,Types,What is PropTypes?,A runtime type-checking feature for React props. (Note: TypeScript is now preferred over PropTypes in modern development).
74,Forms,Difference between value and defaultValue?,value makes an input controlled (fixed state). defaultValue sets the initial value for an uncontrolled input.
75,Performance,What is Tree Shaking?,A form of dead code elimination used by bundlers (like Webpack) to remove unused code from the final bundle.
76,React 18,What is Concurrent React?,A new mechanism in React 18 that allows React to prepare multiple versions of the UI at the same time (rendering is interruptible).
77,React 18,What is useTransition?,"A hook that lets you mark a state update as a ""transition"" (low priority), allowing the UI to remain responsive during heavy updates."
78,React 18,What is useDeferredValue?,A hook that lets you defer re-rendering a non-urgent part of the tree. Similar to debouncing but integrated with React's rendering cycle.
79,React 18,What is useId?,"A hook for generating unique IDs that are stable across the server and client, useful for accessibility attributes (ARIA)."
80,React 18,What is Suspense?,"A feature that lets components ""wait"" for something (like data fetching) before rendering, showing a fallback (spinner) in the meantime."
81,SSR,What is Server-Side Rendering (SSR)?,"Rendering React components into HTML on the server and sending the HTML to the client, improving SEO and initial load time."
82,SSR,What is Next.js?,"A React framework that enables features like SSR, Static Site Generation (SSG), and automatic routing."
83,SSR,What is Static Site Generation (SSG)?,Generating HTML pages at build time rather than request time. Extremely fast but data can be stale.
84,SSR,What is Incremental Static Regeneration (ISR)?,"A Next.js feature that allows you to update static pages after you’ve built your site, without rebuilding the entire site."
85,Testing,What is Shallow Rendering?,Testing a component one level deep (rendering it without rendering its child components).
86,Testing,What is act() in testing?,"A helper that ensures all updates related to interactions, rendering, and data fetching are processed and applied to the DOM before assertions run."
87,Testing,What is Snapshot Testing?,Saving the rendered output of a component to a file and comparing it against future runs to detect unexpected UI changes.
88,Security,What is dangerouslySetInnerHTML?,React's replacement for innerHTML. It warns you that setting HTML from code is risky (XSS attacks) and should be used with caution.
89,Hooks,Can you use Hooks inside loops or conditions?,No. Hooks must always be called in the exact same order on every render. This allows React to track state correctly.
90,Core,What is the children prop?,A special prop that passes elements/components defined between the opening and closing tags of a component.
91,Core,What is the purpose of super(props)?,"In class components, it calls the parent class constructor (React.Component) and binds this.props so it can be used in the constructor."
92,Hooks,What is useDebugValue?,A hook used in custom hooks to display a label/value in React DevTools for debugging purposes.
93,Ecosystem,What is JSX transpilation?,The process (usually done by Babel) of converting JSX syntax into React.createElement() function calls that browsers can understand.
94,Styles,What is the difference between Global CSS and CSS-in-JS?,Global CSS applies to the whole app (risking conflicts). CSS-in-JS scopes styles to the component level (encapsulation).
95,Architecture,What is Unidirectional Data Flow?,Data flows one way: Parent → Child. Children cannot push data back up directly; they must use callbacks passed down by the parent.
96,Optimization,How do you prevent a function from re-creating on every render?,Use useCallback to memoize the function instance.
97,Optimization,How do you prevent a heavy calculation from running on every render?,Use useMemo to cache the result.
98,Environment,What is process.env?,A global variable injected by Node.js/Bundlers to access environment variables (like API keys) during build or runtime.
99,Core,"What happens if you modify state directly (e.g., this.state.count = 2)?","React won't know the state changed, so it won't re-render the component, and the UI will be out of sync. Always use setState or state updaters."
100,Advanced,What is Inversion of Control (IoC) in React?,"A design principle where you pass control of the UI to the consumer (e.g., using Render Props or Compound Components) rather than hardcoding logic."
101,TypeScript,Why use TypeScript with React?,"It provides static typing, reducing runtime errors, improving code quality, and offering better IDE autocompletion and refactoring tools."
102,TypeScript,How do you type useState?,"Explicitly define the type in generics: `const [user, setUser] = useState<User"
103,TypeScript,How do you type event handlers?,"Use React's event types, e.g., React.ChangeEvent<HTMLInputElement> for inputs or React.FormEvent for form submission."
104,TypeScript,What is the React.FC type?,"Short for ""Function Component"". It implicitly included children (in older versions) and provides type checking for default props. Note: Modern React prefers explicitly typing props instead of using FC."
105,TypeScript,How do you type useRef for a DOM element?,const inputRef = useRef<HTMLInputElement>(null);. The initial value is usually null.
106,TypeScript,"What is a ""Generic Component""?","A component that can accept props of various types, defined using TypeScript generics (e.g., a List component that can render a list of strings OR numbers)."
107,TypeScript,How do you type the children prop explicitly?,"Use React.ReactNode for the most broad type (accepts JSX, strings, numbers, null, etc.)."
108,Patterns,"What is the ""Compound Components"" pattern?","A pattern where multiple components work together to share state and logic (e.g., <Select>, <Select.Option>), usually using Context API internally."
109,Patterns,"What is the ""State Reducer"" pattern?",A pattern that allows users to invert control over state updates by passing a custom reducer to a hook or component.
110,Patterns,"What is the ""Prop Getters"" pattern?",A technique where a hook returns functions (like getInputProps) that you spread onto elements to handle accessibility and events automatically.
111,Optimization,What is Virtualization (or Windowing)?,"Rendering only the items in a large list that are currently visible in the viewport (using libraries like react-window), improving performance."
112,Optimization,"What is ""Debouncing"" in React?","Delaying a function call (like a search API request) until the user has stopped typing for a specific duration, preventing excessive re-renders/calls."
113,Optimization,"What is ""Throttling""?","Limiting the number of times a function can be called over a certain time period (e.g., handling scroll events)."
114,Tools,What is the React Profiler?,A developer tool used to measure the rendering performance of a React application (identifying which components render and how long they take).
115,Core,What is Reconciliation?,The algorithm React uses to diff one tree with another to determine which parts need to be replaced.
116,Core,"How does React handle ""Key"" collisions?","If keys are not unique among siblings, React cannot correctly track elements, leading to state bugs and inefficient updates."
117,Data,"What is ""Optimistic UI""?","Updating the UI immediately as if an action succeeded (before the server responds), then rolling back if it fails."
118,Data,What is React Query (TanStack Query)?,"A powerful library for fetching, caching, synchronizing, and updating server state in React applications (replaces basic useEffect fetching)."
119,Data,"What is ""Stale-While-Revalidate""?",A caching strategy where the browser serves stale data from the cache while simultaneously fetching fresh data in the background.
120,Data,What is an AbortController?,"A standard web API used to cancel pending network requests (e.g., cancelling a fetch call if the component unmounts)."
121,Router,What are Nested Routes?,"Defining routes inside other routes (children), allowing the UI to render a persistent parent layout while swapping child content."
122,Router,"What is a ""Loader"" in React Router v6.4+?","A function that runs before a route renders to fetch data, ensuring data is ready when the component mounts (eliminating ""fetch-then-render"" waterfalls)."
123,Router,What is useSearchParams?,"A hook to read and modify the query string (e.g., ?filter=red&sort=asc) in the URL."
124,Router,What is useLocation?,"A hook that returns the current location object, containing information about the current URL (pathname, search, hash, state)."
125,Debugging,"What causes the ""Too many re-renders"" error?","Usually an infinite loop where a state update triggers a render, which immediately triggers the same state update again (e.g., calling setState directly inside the render body)."
126,Debugging,"What is a ""Memory Leak"" warning in React?",It happens when a component unmounts but still has active subscriptions or async tasks (like setTimeout or fetch) trying to update the state of the unmounted component.
127,Debugging,Why does useEffect run twice in development?,"In React.StrictMode, effects run twice (mount -> unmount -> mount) to help developers spot side effects that aren't properly cleaned up."
128,Architecture,What are Micro-Frontends?,"An architectural style where a web app is composed of independent, loosely coupled features (often built by different teams/technologies) integrated into a single page."
129,Architecture,What is Atomic Design?,"A methodology for creating design systems by breaking components into Atoms, Molecules, Organisms, Templates, and Pages."
130,Architecture,React vs. Angular (Conceptual)?,"React is a library (flexible, unopinionated, requires external libraries for routing/state). Angular is a full framework (opinionated, batteries-included)."
131,Ecosystem,What is Prettier?,An opinionated code formatter that enforces a consistent style across your React project.
132,Ecosystem,What is ESLint?,A linter tool that identifies and reports on patterns found in ECMAScript/JavaScript code (helps find syntax errors and enforce best practices).
133,State,What is Recoil?,"A state management library for React developed by Facebook, using ""atoms"" and ""selectors"" for fine-grained updates."
134,State,What is Zustand?,"A small, fast, and scalable bearbones state-management solution using simplified flux principles (very popular alternative to Redux)."
135,Hooks,Can useEffect be async?,"No. You cannot pass an async function directly to useEffect because it returns a Promise, not a cleanup function. You must define the async function inside the effect."
136,Core,What are defaultProps?,A property on component classes to set default values for props. (Deprecated/discouraged in functional components in favor of default parameters).
137,Patterns,"What is a ""Recursive Component""?",A component that calls itself inside its own JSX. Useful for rendering nested data structures like file trees or comments.
138,Styling,"What is ""PostCSS""?","A tool for transforming CSS with JavaScript (e.g., adding vendor prefixes automatically)."
139,Styling,What is Tailwind CSS?,A utility-first CSS framework often used with React to style components directly in the className prop without writing custom CSS files.
140,Advanced,What is the Shadow DOM?,"A web standard that offers component style and markup encapsulation. React typically uses the Light DOM, but can render into Shadow DOM."
141,Core,What is the key prop used for in Lists?,"It identifies which items have changed, are added, or are removed."
142,Testing,"What is ""Mocking"" in tests?",Replacing complex or external dependencies (like API calls) with simulated versions to isolate the component being tested.
143,Testing,What is fireEvent vs userEvent?,"fireEvent (React Testing Library) dispatches exact DOM events. userEvent simulates full user interactions (e.g., typing triggers focus, keydown, input, keyup) and is preferred."
144,Forms,What is Formik?,"A popular library for building forms in React that handles validation, error messages, and form submission state."
145,Forms,What is React Hook Form?,"A performant library for flexible and extensible forms with easy-to-use validation, minimizing re-renders."
146,Performance,What is FCP (First Contentful Paint)?,A metric measuring the time from when the page starts loading to when any part of the page's content is rendered on screen.
147,Performance,What is LCP (Largest Contentful Paint)?,A metric measuring the render time of the largest image or text block visible within the viewport (a key Core Web Vital).
148,Core,How do you reset a component's state?,You can change the component's key prop. React will treat it as a distinct component and recreate it from scratch.
149,Hooks,What is the difference between useMemo and React.memo?,useMemo caches a value/result inside a functional component. React.memo caches the rendered component itself to prevent re-renders if props don't change.
150,Misc,Is React a library or a framework?,"Technically a library. It focuses only on the View layer. You need other libraries for routing, state management, etc., to build a full framework experience."
151,A11y,How do you use aria-* attributes in JSX?,"They are written exactly as in HTML (hyphenated), e.g., aria-label, aria-required. Unlike other props, they do not use camelCase."
152,A11y,Why use htmlFor instead of for in labels?,for is a reserved keyword in JavaScript (for loops). React uses htmlFor to align with the DOM API property className and htmlFor.
153,A11y,How do Fragments aid Accessibility?,"They allow grouping elements without adding extra <div> nodes to the DOM, which can break accessibility trees (e.g., in tables or lists)."
154,Patterns,Composition vs. Inheritance?,React strongly prefers Composition (combining small components) over Inheritance. You almost never use standard OOP class inheritance to extend component functionality.
155,Patterns,What is React.cloneElement?,"A top-level API that clones a valid React element and returns a new one, allowing you to modify/add props to children dynamically."
156,Hooks,When to use useReducer over useState?,"Use useReducer when state logic is complex, involves multiple sub-values, or when the next state depends on the previous one in a complicated way."
157,Hooks,Why do objects in the useEffect dependency array cause infinite loops?,"Objects are compared by reference, not value. A new object created in the render body is a ""different"" object every time, triggering the effect repeatedly."
158,React 18,What is flushSync?,"A function that forces React to flush updates synchronously (immediately), bypassing the automatic batching optimization."
159,Core,What is Event Delegation in React?,React attaches one event listener to the root of the document (or app container in React 17+) rather than attaching listeners to every specific DOM node.
160,Core,Why must Keys be unique only among siblings?,React's diffing algorithm only compares nodes within the same parent array. Keys don't need to be globally unique across the whole app.
161,Security,How can href links be a security risk?,"href=""javascript:code..."" can execute malicious scripts. You should validate user-provided URLs to ensure they start with http or https."
162,Security,"What is ""JSX Injection""?","It is unlikely because React escapes values, but it can happen if you incorrectly use dangerouslySetInnerHTML or improper server-side rendering sanitization."
163,Tools,What is Vite?,A modern build tool that is significantly faster than Webpack (used in CRA). It uses native ES Modules for dev server and Rollup for production builds.
164,Tools,Why migrate from Create-React-App (CRA) to Vite?,"CRA is slower, heavier, and effectively unmaintained. Vite offers near-instant start times, faster HMR (Hot Module Replacement), and better performance."
165,Testing,What is renderHook?,A utility in React Testing Library allowing you to test a custom hook in isolation (creating a test component to run it).
166,Styling,What is the main downside of CSS-in-JS?,"It adds runtime overhead (generating classes on the fly) and increases bundle size, which can affect performance in very large apps."
167,Advanced,What is React.Children.map?,"A utility to iterate over props.children safely, handling cases where children might be an array, a single object, or undefined."
168,State,How do you persist state on page reload?,Typically by saving the state to localStorage or sessionStorage inside a useEffect and reading it during initialization.
169,Redux,What is reselect?,"A library for creating memoized ""selector"" functions. It prevents Redux from recalculating derived data if the input state hasn't changed."
170,Router,How do you implement Protected Routes?,"Create a wrapper component that checks for authentication (e.g., token). If authorized, render the Outlet or child; if not, return <Navigate to=""/login"" />."
171,Router,What is the <Navigate> component?,"A component that, when rendered, changes the current location (redirects). Useful for declarative redirects in JSX."
172,Forms,How do you handle file inputs in React?,File inputs are always uncontrolled because their value is read-only. You use a ref or an onChange handler to access e.target.files.
173,Forms,Handling multiple inputs with one handler?,"Use the name attribute: handleChange = (e) => setData({ ...data, [e.target.name]: e.target.value });."
174,Hooks,"How to fix ""Flickering"" UI on load?","If the flicker is caused by data loading, use a Skeleton loader. If it's caused by style calculations, move the logic to useLayoutEffect."
175,Core,What is the difference between <React.Fragment> and <>?,"<> is the short syntax. It does not support attributes (like key), whereas <React.Fragment key={...}> does."
176,Core,What is displayName?,"A string property on components used for debugging messages. Usually inferred, but can be set explicitly for Higher-Order Components."
177,Performance,What is the restriction of React.lazy?,It only supports components exported as default exports. Named exports must be re-exported as default to work.
178,Ecosystem,What is Storybook?,"A tool for building UI components and pages in isolation. It simplifies documentation, testing, and showcasing components outside the main app."
179,API,Axios vs Fetch?,"fetch is native. axios is a library that adds features like auto-JSON parsing, request interceptors, and better error handling (rejects on 4xx/5xx)."
180,Architecture,Feature-based vs Type-based folder structure?,"Type-based groups by file type (components, hooks). Feature-based groups by domain (e.g., ""User"", ""Cart""), which is generally more scalable for large apps."
181,Advanced,What are limitations of Error Boundaries?,"They do not catch errors in: Event handlers, Asynchronous code (setTimeout), Server-side rendering, or errors in the Boundary itself."
182,Advanced,What is getDerivedStateFromError?,A static lifecycle method used in Error Boundaries to render a fallback UI after an error is thrown.
183,Advanced,What is componentDidCatch?,"A lifecycle method in Error Boundaries used to log error information (e.g., to an error reporting service like Sentry)."
184,Architecture,What is React Fiber?,The rewrite of React's core algorithm (v16). It allows rendering to be split into chunks (units of work) and prioritized/paused.
185,Server Components,What are React Server Components (RSC)?,Components that run exclusively on the server. They have zero bundle size impact on the client and can access the database directly.
186,Server Components,Difference between RSC and SSR?,"SSR renders HTML on the server for the initial load. RSC keeps components on the server forever, sending only the calculated output to the client as needed."
187,Concurrency,"What is ""Tearing""?",A visual inconsistency where the UI shows two different states of the same data simultaneously (prevented by React 18's concurrent features).
188,Hooks,Can you force a component to re-render?,"Yes, but it's discouraged. You can use a dummy state update (e.g., useState({})) or useReducer(x => x + 1, 0)."
189,Patterns,"What is ""Prop Drilling"" vs ""Context""?","Prop drilling passes data explicitly through every layer. Context ""teleports"" data to the component that needs it, bypassing intermediates."
190,Optimization,How do you optimize a large Context Provider?,"Split the context into separate contexts (e.g., UserContext and ThemeContext) so updates to one don't re-render consumers of the other."
191,Ecosystem,"What is ""Create React App"" (CRA)?",The formerly standard tool to bootstrap React apps. It is now largely considered deprecated in favor of Vite or frameworks like Next.js.
192,Core,What is react-dom?,The package that serves as the entry point to the DOM and server renderers. It separates React (logic) from the DOM (rendering target).
193,Core,What is react-scripts?,"The set of scripts and configuration used by Create React App (handling Webpack, Babel, ESLint configuration hidden from the user)."
194,Testing,What is the difference between Unit and Integration tests in React?,"Unit: Tests individual components/functions in isolation. Integration: Tests how multiple components work together (e.g., Parent + Child + Context)."
195,Core,Why is class used in CSS but className in React?,class is a reserved keyword in JS (for creating classes). React uses className to avoid syntax errors.
196,Advanced,"What is a ""Memory Leak"" in useEffect?",When you subscribe to something (like a WebSocket or Timer) but forget to unsubscribe/clear it in the return function of useEffect.
197,Security,"What is ""Clickjacking""?",An attack where a user is tricked into clicking something different from what they see. React apps can use X-Frame-Options headers to prevent being embedded in iframes.
198,Styles,"What is ""Critical CSS""?","The minimum CSS required to render the initial visible content of the page (Above the Fold), inlined to improve load performance."
199,Core,What is the key prop behavior in Arrays?,"If an index is used as a key and the array is reordered, React may reuse the DOM element for the wrong data item, causing UI glitches."
200,Advanced,Can React work without JSX?,"Yes. You can write components using React.createElement('div', { className: 'foo' }, 'Hello'), but it is verbose and hard to maintain."
201,Advanced,"What is the ""Provider Pattern""?","A pattern used by Context API and Redux where a top-level component holds data and passes it to all children via a value prop, avoiding prop drilling."
202,Advanced,"What is ""Prop Types"" vs ""TypeScript""?",PropTypes checks types at runtime (development only). TypeScript checks types at compile time. TypeScript is generally preferred today.
203,Hooks,What is the useCallback dependency hazard?,"If you miss a dependency in the array, the function will use stale values (closures) from the render cycle where it was defined, leading to bugs."
204,Hooks,Can useEffect return a Promise?,No. It must return undefined or a cleanup function. You cannot declare the effect function itself as async.
205,Architecture,What is the difference between a Library and a Framework?,"React is a library (you choose the router, styling, etc.). Angular/Next.js are frameworks (structure and tools are enforced/provided)."
206,Core,"What is ""declarative"" programming in React?","You describe what the UI should look like for a given state (e.g., <h1>{name}</h1>), and React handles how to update the DOM to match it."
207,Core,"What is ""imperative"" programming?","Manually giving step-by-step instructions to change the UI (e.g., document.getElementById('demo').innerText = 'Hello'). React avoids this."
208,Events,What is the difference between onClick and addEventListener?,"onClick is a React synthetic event (cross-browser, pooled). addEventListener attaches a native DOM listener (requires manual cleanup)."
209,Events,What is e.persist()?,"In older React versions, it prevented the synthetic event object from being nullified (pooled). In React 17+, event pooling was removed, so this is no longer needed."
210,Styling,What is BEM naming convention?,"Block Element Modifier. A CSS naming convention (e.g., .card__title--active) often used in React apps using standard CSS or SASS."
211,Styling,"What is ""CSS Modules"" scoping?","It generates unique class names (e.g., Button_btn__1a2b3) during build, ensuring styles defined in one component don't leak to another."
212,Performance,"What is ""overscanning"" in virtualization?",Rendering a few extra items above and below the visible viewport area so that the user doesn't see blank space immediately when scrolling.
213,Redux,"What is ""Immer"" (used in Redux Toolkit)?","A library that allows you to write ""mutating"" logic in reducers (e.g., state.value = 123) which it essentially converts into immutable updates under the hood."
214,Redux,Difference between Redux and Context API?,"Context is for low-frequency updates (themes, user auth) and dependency injection. Redux is for high-frequency updates and complex state logic."
215,Forms,What is Formik's useFormik hook?,"A hook that returns all the state and helper methods needed to manage a form, without the need for the <Formik> render-prop component."
216,Testing,What is jest.mock()?,"A Jest function used to auto-mock a module. For example, mocking axios so your tests don't actually make network requests."
217,Testing,What is screen.debug()?,A method in React Testing Library that logs the current HTML structure of the rendered component to the console. Extremely useful for debugging tests.
218,Patterns,"What is ""Composition"" in React?","Building complex UIs by combining smaller, independent components. For example, passing a Dialog component a message and Button as children."
219,Patterns,"What is the ""Singleton"" pattern in React state?",Typically avoided in React. Global state (like Context or Redux) acts as a singleton source of truth rather than using Javascript class singletons.
220,Build,What is Webpack?,"A module bundler. It takes your JavaScript, CSS, and images, and bundles them into static files (assets) for the browser."
221,Build,What is Babel?,A JavaScript compiler. It converts modern JavaScript (ES6+) and JSX into backwards-compatible JavaScript (ES5) for older browsers.
222,Build,"What is ""Hot Module Replacement"" (HMR)?","A feature in development that updates modules in the browser (adds/removes styles or logic) without a full page refresh, preserving state."
223,Core,"What is the ""Root DOM node""?","The HTML element (usually <div id=""root""></div>) where React takes control and renders the application tree."
224,Lifecycle,Can you use setState in componentDidUpdate?,"Yes, but only inside a conditional statement (checking if props/state changed) to avoid an infinite loop."
225,Hooks,Can useRef trigger a re-render?,"No. Updating ref.current does not notify React of a change, so the component does not re-render."
226,Hooks,How do you mimic componentDidMount with useEffect?,"Use an empty dependency array: useEffect(() => { ... }, [])."
227,Hooks,How do you mimic componentDidUpdate with useEffect?,"Use useEffect with a dependency array, but check if it's the first render using a ref if you want to skip the mount phase."
228,Hooks,How do you mimic componentWillUnmount with useEffect?,"Return a function from useEffect: useEffect(() => { return () => { /* cleanup */ } }, [])."
229,Router,What is <BrowserRouter>?,A router implementation that uses the HTML5 History API to keep your UI in sync with the URL.
230,Router,What is <HashRouter>?,"A router that uses the hash portion of the URL (e.g., #/user/123). Useful for static file servers where you can't configure server-side routing."
231,Security,What is JWT storage best practice in React?,Do not store sensitive JWTs in localStorage (vulnerable to XSS). HttpOnly cookies are safer against XSS.
232,Security,What is CSRF?,Cross-Site Request Forgery. React itself doesn't prevent it; it's prevented by ensuring your API requires anti-CSRF tokens or checks headers.
233,Next.js,What is getStaticProps?,A function in Next.js (Pages router) that runs at build time to fetch data for Static Site Generation (SSG).
234,Next.js,What is getServerSideProps?,"A function in Next.js (Pages router) that runs on every request to the server, used for Server-Side Rendering (SSR)."
235,Next.js,What is the Image component in Next.js?,"An extension of the HTML <img> element that automatically optimizes images (resizing, lazy loading, WebP format) for performance."
236,Internationalization,What is i18next?,"A popular internationalization framework for JavaScript, often used with react-i18next to translate React apps."
237,Core,"What is a ""Mixin""?",An old pattern to share code between class components. It is deprecated and replaced by HOCs and Hooks due to naming clashes and complexity.
238,Architecture,"What is ""Clean Architecture"" in frontend?","Organizing code by layers: Domain (Entities), Data (API/Repositories), and Presentation (React Components), keeping business logic independent of UI."
239,Performance,What is window.requestAnimationFrame()?,A browser API that tells the browser you wish to perform an animation. React uses this internally to schedule updates efficiently.
